created_at	id	entities|user_mentions|screen_name	entities|media|type	favorite_count	retweet_count	retweeted_status|id	retweeted_status|favorite_count	retweeted_status|retweet_count	retweeted_status|created_at	entities|media|url	text
Sun Dec 28 15:05:04 +0000 2014	549219486105346048	0	photo	5186	2252	0	0	0	0	http://t.co/HHhDBClmLg	A small dog dressed as two even smaller dogs carrying a present. http://t.co/HHhDBClmLg
Sun Dec 28 14:35:02 +0000 2014	549211928896483329	0	photo	1351	416	0	0	0	0	http://t.co/o9JzhO73GD	Just look at that look of love! http://t.co/o9JzhO73GD
Sun Dec 28 14:30:16 +0000 2014	549210731850518528	0	photo	357	90	0	0	0	0	http://t.co/lafa4X0UpD	This adorable husky acts like a cat and you'll love the reason why! http://t.co/FNLEEXk17m||. http://t.co/lafa4X0UpD
Sun Dec 28 14:15:28 +0000 2014	549207004972318720	BarkPost	0	85	25	0	0	0	0	0	Human tries to train a puppy, things take a ridiculously hilarious turn via @BarkPost https://t.co/k6rAN1Y8LU
Sun Dec 28 14:05:05 +0000 2014	549204393351208961	0	photo	1364	544	0	0	0	0	http://t.co/C0bk4DKSj2	Cheeto eye brows and stache http://t.co/C0bk4DKSj2
Sun Dec 28 13:30:07 +0000 2014	549195592271134721	0	photo	115	43	0	0	0	0	http://t.co/mKJ6K6tRdc	The 9 craziest things ever found on google maps http://t.co/eg1nnfIot8||. http://t.co/mKJ6K6tRdc
Sun Dec 28 13:25:01 +0000 2014	549194308331769856	0	photo	3085	1054	0	0	0	0	http://t.co/LbLE1NWkYF	Deer comes so often he gets his own bed. http://t.co/LbLE1NWkYF
Sun Dec 28 12:35:12 +0000 2014	549181774027173888	0	photo	2479	677	0	0	0	0	http://t.co/iu4KaqMZky	A parade thrown just for her. http://t.co/iu4KaqMZky
Sun Dec 28 12:30:13 +0000 2014	549180520371068928	0	photo	197	125	0	0	0	0	http://t.co/WRIAQvS9sP	America's most bizarre laws will crack you up! http://t.co/sTy4zjdRLT||. http://t.co/WRIAQvS9sP
Sun Dec 28 12:08:04 +0000 2014	549174943859367936	0	photo	1470	619	0	0	0	0	http://t.co/dIAM3BTkIj	Look how happy Ludwig is on his birthday! http://t.co/dIAM3BTkIj
Sun Dec 28 10:45:01 +0000 2014	549154043088863232	0	photo	1835	678	0	0	0	0	http://t.co/789KqggWyu	Frenchie dressed up like an elephant and passed out in the sink. http://t.co/789KqggWyu
Sun Dec 28 09:25:01 +0000 2014	549133913088880640	0	photo	1728	807	0	0	0	0	http://t.co/sikgvNnJR9	Looked up Marine Animals. Was not disappointed. http://t.co/sikgvNnJR9
